trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
CkH62d6ke5hUPFdwEuCcpyJaaXSkHcThaQWZsnKxdZtY,-60.25446587318811,-1028.6565121460435,-1088.9109780192316,4
G2ifD7CHfurNdFcUj5hqerKdAtU9f79xZnbNEmMaihgs,246.11214153475788,-1273.9159232515722,-1027.8037817168142,9
8o3D7vEU4JJJ6rysHwSLzYw3YUdz38uvZjtzhaGkVDaE,22.938234839571237,-44.86880942957244,-21.9305745900012,2
DK8yTktxVXTX66AMKTzzCsCkztQqvsD2gFvRtX5KJ6wQ,-205.74490042563082,-1851.1446751896206,-2056.8895756152515,8
Djy5Fjv2dmobGrCE2aCAeDcfDX7AkSP26auc42nUoqR8,0.0,-13.717806824292216,-13.717806824292216,1
349475rAZPPzFPrgoRsSsfQUmoekn2cwjf9s82Rk6XhG,-314.522633359152,-506.5072837232783,-821.0299170824303,7
EXFiPzYYTgsrZ3h79Uqn8tsAanQGpH4A5YJXMx4hYd9B,-149.28633850905783,-1400.6116998932255,-1549.8980384022834,5
76GRz1YbnVx4tW8XbeGZLAff87nX5RXr27oh4mG2UEsq,-784.620613373694,-7230.90045491781,-8015.521068291504,10
BL2JyZXjnSf91a7djJV8bU6m18VBYt7r4N1mW6DMw2VY,1434.8695720389692,-717.690938016139,717.1786340228302,2
C97Yuc3dFtDggRrFnUP7ubmqqbv87LRsDfF5GDoNSkZZ,-253.1451672549711,-3649.39987032531,-3902.545037580281,4
ADMQ8fMnQT4Xej8Qa5R5nWjQ5MpLTbBPnqkFB652WuR7,0.0,-938.5686566858917,-938.5686566858917,7
HpdxCxcod6mGFn7V1p9nZaSekaFhkKekGpypQJDgYvLP,0.0,-128.00230380358173,-128.00230380358173,1
9F5xQpRBUELjoGrB3wo2594zy7Z44SY88NoPRQ5WJ8SS,-442.5246570133256,0.0,-442.5246570133256,1
28HydArWdgBkeLpDEKvAESsopDViLPPBoktA8gZNqrnY,-6.597611063806433,-110.29025770742732,-116.88786877123374,1
GtiuCZYW7qoxiXahjRDq2SvgGVPrY6SwyKGA74XPjH3z,-153.91121483423717,-374.8416074072359,-528.752822241473,3
DDHd8SGrBrxHffWfjFHwEMRDjAt5DMBovzwxF67mPybm,0.0,-732.8826147005412,-732.8826147005412,4
DYyxNwMkfwAQMRdq8GxsCNZMsgXYSViWKXUefUPyoSLf,0.0,-554.7426774423495,-554.7426774423495,1
CKPYjifZknJNnEcBvrresWS59N6uGKxRdCVBDsDPGJTr,0.0,4769.216768545102,4769.216768545102,1
ERM7Vm3utg6p6LiNvQ6sNw6GdzXUdUt9wUbCcsGS8ocT,0.0,-808.8902449659724,-808.8902449659724,4
HKDFeAwkzm6bQhF7ptrBC2npiaYqNwdgaDJskgvgGiHX,132.53406418815348,-2296.226503300668,-2163.6924391125144,5
DPJLQop4WuFok4CpgPErwMUzs4RacXt3gHsLKa5qZe4j,123.946411948334,0.0,123.946411948334,1
3CHTtcRAgyeso2eVhw3yFeiSbLtm8ZDuKPW24cVNFggs,0.0,-118.44779018575417,-118.44779018575417,1
61kresHiXpx7dUCw79N59gfs8NDoPSUziG5t6ih2EyyG,0.0,-195.29710889467586,-195.29710889467586,1
LBRLLg3xPMiLUjpY6oBu4MPpSkP7MBtDsiqHAJs5rwk,-8.306989377060532,0.0,-8.306989377060532,1
3Ykdz642UrDdLKpC4qDXaFXS2eqt5zt6YiK3QMdt5URq,0.0,-284.6119756864916,-284.6119756864916,1
9DA3z7cmZxGVi8QvBwAKbSABPYm1uMZE5Bi3cL16ez31,0.0,-220.57342861940933,-220.57342861940933,1
9ndHmbf79EYe89KwRDmpn6RSH51YtAUrYMBvh3nXVHSH,203.28452510854174,-584.7983049577867,-381.513779849245,4
9GNHFWmVEw3Mbrh8Rrz1fTJMv36SxsuQrMtCq7tmrN3K,759.5203083940208,3988.3913943511643,4747.911702745185,17
7FFkvcHNZCNsbfsTpb35vf7AyTGDN7cJ2G2XmdV1zi9p,-205.0711726673054,-1075.7572143151212,-1280.8283869824268,7
